,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
50,0,2,4,2,3,2,3,3,2,0,0,4,2,3,0,3,2,2,0,2,0,3,0,3,0,0,0,2,4,0
51,2,2,0,2,0,0,4,3,1,1,4,2,4,4,4,2,0,4,4,0,4,0,4,4,4,4,4,4,1,4
52,0,0,0,4,4,4,3,4,4,0,0,3,2,4,4,0,0,0,1,4,0,4,0,3,0,3,4,3,1,4
53,3,0,1,4,1,2,3,4,0,0,1,1,4,3,0,0,1,4,1,2,1,4,0,2,3,2,1,1,4,1
54,0,0,1,3,2,1,3,4,3,0,2,2,3,4,3,1,1,2,2,1,4,1,2,3,2,3,4,4,3,4
55,4,0,1,2,3,3,4,2,4,3,0,4,4,0,0,3,3,0,0,3,2,1,1,3,0,1,2,3,0,2
56,2,0,0,2,2,3,3,3,3,2,2,2,3,3,2,2,1,2,2,3,3,1,2,1,1,1,1,1,4,1
57,1,2,1,3,1,1,4,1,2,4,4,1,2,1,3,3,2,2,4,1,4,1,4,3,1,3,4,2,3,4
58,2,2,1,4,0,1,4,3,3,3,4,3,3,4,4,1,0,4,4,1,4,1,4,3,4,4,2,1,0,2
59,2,1,2,1,1,3,3,3,3,2,0,3,3,0,0,2,2,2,0,3,1,2,0,3,0,0,1,1,3,1
60,0,4,0,3,2,4,4,1,1,0,4,3,4,0,1,0,2,1,0,3,3,1,0,2,1,1,1,4,2,1
61,4,3,0,2,4,2,3,2,1,3,3,0,4,2,0,3,3,2,1,2,1,1,1,4,2,3,2,3,3,2
62,3,4,1,0,1,1,4,1,2,3,4,2,0,3,4,4,2,4,3,1,4,0,1,1,4,4,4,3,0,4
63,0,1,2,1,1,2,3,4,3,2,3,0,1,2,3,2,0,2,3,2,3,1,2,2,1,3,4,4,3,4
64,2,2,2,4,0,0,4,4,3,2,4,3,2,3,4,1,0,4,4,0,4,0,4,1,4,4,2,2,2,2
65,2,1,0,4,2,1,1,4,0,4,0,1,1,4,4,2,1,0,0,1,1,4,0,1,2,3,4,0,3,4
66,1,0,4,1,2,3,1,0,4,1,2,2,0,2,2,4,4,2,1,1,1,1,1,1,2,1,0,0,2,0
67,4,3,1,2,2,2,1,4,3,3,0,0,4,1,3,2,0,1,2,2,3,1,1,4,0,2,2,3,2,2
68,2,4,3,3,0,0,4,2,2,1,4,2,2,4,4,2,2,4,4,0,4,1,4,2,4,4,1,4,1,1
69,1,4,4,2,0,0,4,2,2,1,4,3,2,3,4,3,1,4,4,0,4,0,4,2,4,4,2,3,1,2
70,3,4,0,4,0,2,3,2,2,4,3,2,2,4,3,2,3,3,2,2,3,0,3,4,3,4,3,3,2,3
71,2,1,2,1,0,0,4,3,4,4,4,4,4,4,4,2,1,4,4,0,4,0,4,3,4,4,2,1,0,2
72,4,0,0,4,3,4,2,2,4,4,1,1,0,2,1,0,1,0,0,4,1,3,0,0,2,1,4,4,4,4
73,2,1,0,4,1,1,3,4,0,0,1,3,4,3,0,0,0,3,0,1,1,3,0,4,3,2,3,2,4,3
74,0,1,0,2,2,2,2,3,4,0,0,4,3,1,0,4,2,0,0,2,0,4,0,4,0,1,0,4,1,0
75,0,0,3,2,1,1,2,3,3,0,3,0,4,3,3,3,2,3,3,1,4,1,2,4,2,1,0,1,4,0
76,1,2,1,1,1,1,3,3,2,1,0,1,3,1,0,3,1,2,0,1,1,2,4,2,0,0,2,1,2,2
77,4,4,1,4,4,3,3,4,0,3,3,2,4,1,3,1,1,2,4,3,3,2,3,3,4,3,3,3,4,3
78,1,4,3,1,0,0,4,2,2,1,4,4,2,4,4,4,1,4,4,0,4,0,4,2,4,4,3,4,2,3
79,0,3,3,0,0,0,4,1,2,1,4,4,0,3,4,2,2,4,1,0,4,0,0,0,4,4,4,3,0,4
80,0,0,2,1,4,3,0,3,4,1,0,4,1,4,3,2,0,1,0,3,0,4,0,2,0,0,2,0,1,2
81,1,3,4,2,0,0,4,2,3,2,4,3,2,3,4,1,2,4,4,0,4,0,4,4,4,4,1,3,1,1
82,4,2,1,1,2,4,3,2,3,3,0,4,2,3,0,4,3,0,0,4,2,1,1,3,0,1,3,3,2,3
83,3,2,1,4,0,0,4,4,3,3,4,4,4,2,4,1,0,4,4,0,4,0,4,4,4,4,3,1,0,3
84,0,0,3,1,3,4,0,3,4,0,0,4,0,2,3,3,1,0,1,4,0,4,1,0,0,1,2,1,1,2
85,4,3,3,3,2,1,3,4,2,3,3,0,2,0,2,3,0,2,3,1,3,2,2,2,4,3,1,4,4,1
86,1,1,4,3,2,1,2,4,0,4,0,1,2,4,3,3,1,0,0,2,1,4,0,1,2,3,2,2,3,2
87,2,3,0,2,3,0,4,3,0,2,4,4,3,2,4,2,0,4,4,0,4,0,4,2,4,4,3,2,0,3
88,3,2,0,4,1,3,3,4,1,0,2,1,4,2,0,1,0,4,1,3,2,3,1,3,3,2,2,2,4,2
89,4,4,1,3,0,1,3,3,1,4,3,1,3,3,3,4,3,3,3,1,4,0,4,4,3,4,3,3,1,3
90,2,0,2,0,1,0,0,1,4,1,3,0,3,0,4,3,4,0,4,0,1,0,4,3,0,1,3,2,4,3
91,4,4,0,4,3,0,4,3,0,4,3,3,3,1,4,0,0,4,4,0,4,0,4,4,4,4,4,1,2,4
92,0,1,2,3,0,1,4,2,4,1,1,2,3,2,3,0,0,4,0,1,3,0,0,2,4,4,3,2,1,3
93,3,1,2,0,2,1,3,0,4,3,0,2,0,0,0,3,4,2,0,1,4,0,0,2,1,1,4,0,2,4
94,3,1,3,2,0,0,4,2,4,3,3,4,2,4,4,2,2,4,3,0,4,0,2,3,4,4,1,3,1,1
95,0,3,1,3,4,3,0,4,3,0,1,2,4,1,1,0,0,1,2,3,3,3,1,2,0,0,3,1,3,3
96,2,3,1,2,0,0,4,4,3,3,4,1,3,4,4,3,1,4,4,0,4,0,4,1,3,4,4,1,3,4
97,3,2,1,2,0,0,4,4,3,3,4,0,3,1,4,1,1,4,4,0,4,0,4,3,4,4,3,3,3,3
98,4,4,0,3,4,2,1,3,1,4,0,3,2,2,0,0,3,0,0,3,0,4,0,2,0,0,4,2,0,4
99,0,1,0,2,4,4,0,1,4,0,3,0,4,0,0,3,0,0,0,4,0,4,0,4,0,0,2,3,0,2
100,1,2,4,3,0,0,3,3,2,2,4,1,2,4,4,2,1,3,3,0,3,1,4,4,3,4,1,1,0,1
101,1,1,0,0,3,4,4,2,4,2,0,2,3,1,1,1,1,1,0,4,1,2,0,4,1,2,4,4,2,4
102,0,3,3,4,4,2,0,4,2,0,1,2,1,1,1,0,0,1,4,2,1,4,1,0,0,1,1,1,3,1
103,1,2,2,1,1,2,1,1,3,2,0,1,3,1,0,2,1,0,0,3,2,1,0,4,0,0,0,2,0,0
104,0,0,0,1,4,4,0,1,4,1,1,0,4,0,0,2,2,0,4,4,0,0,1,4,0,0,2,3,4,2
105,4,2,2,2,4,4,0,3,3,4,0,1,1,0,0,1,2,0,0,4,0,3,0,4,0,0,3,1,0,3
106,1,1,1,4,3,3,2,2,3,4,2,3,3,0,1,0,1,3,2,4,1,1,3,3,2,1,2,2,2,2
